,cluster_id,method_name
0,1,setXmlEncoding
1,1,clearIdentifiers
2,1,changed
3,1,replacedCharacterData
4,1,removeUserDataTable
5,1,canRenameElements
6,4,adoptNode
7,1,modifiedAttrValue
8,1,getOwnerDocument
9,1,setEncoding
10,1,isKidOK
11,1,removeChild
12,1,setAttrNode
13,1,getNodeType
14,1,getBaseURI
15,1,getEncoding
16,1,setDocumentURI
17,1,changes
18,1,getNodeName
19,1,removedAttrNode
20,1,getXmlEncoding
21,1,getFeature
22,1,setUserDataTable
23,1,normalizeDocument
24,1,renamedAttrNode
25,1,getAsync
26,1,renamedElement
27,1,putIdentifier
28,1,getIdentifier
29,2,cloneNode
30,1,setAsync
31,1,abort
32,1,callUserDataHandlers
33,1,removeIdentifier
34,0,checkQName
35,2,saveXML
36,1,createCDATASection
37,4,replaceRenameElement
38,1,getDomConfig
39,1,load
40,1,setMutationEvents
41,0,isXML11Version
42,1,readObject
43,0,createAttribute
44,1,getMutationEvents
45,1,isNormalizeDocRequired
46,1,loadXML
47,2,cloneNode
48,1,getUserData
49,1,getDoctype
50,1,getNodeListCache
51,1,getElementById
52,1,createComment
53,1,getUserData
54,1,deletedText
55,1,createAttributeNS
56,1,freeNodeListCache
57,1,createElementNS
58,3,importNode
59,1,insertedText
60,1,callUserDataHandlers
61,0,createNotation
62,0,setXmlVersion
63,1,removeEventListener
64,1,createDocumentType
65,1,insertingNode
66,0,createEntityReference
67,1,getIdentifiers
68,1,getDocumentElement
69,1,setVersion
70,1,undeferChildren
71,3,importNode
72,1,createDocumentFragment
73,1,modifyingCharacterData
74,1,getElementsByTagNameNS
75,1,getElementsByTagName
76,1,setUserData
77,1,modifiedCharacterData
78,4,renameNode
79,1,getXmlVersion
80,1,createElementNS
81,1,getImplementation
82,1,getUserDataRecord
83,1,getVersion
84,1,copyEventListeners
85,1,replacedText
86,2,setErrorChecking
87,1,setXmlStandalone
88,2,setStrictErrorChecking
89,1,clone
90,2,replaceChild
91,1,replacingNode
92,0,createElementDefinition
93,1,isXMLVersionChanged
94,1,setStandalone
95,1,dispatchEvent
96,2,checkDOMNSErr
97,1,insertedNode
98,2,insertBefore
99,1,getTextContent
100,0,createEntity
101,0,createProcessingInstruction
102,1,setTextContent
103,1,replacedNode
104,1,writeObject
105,0,isValidQName
106,1,setUserData
107,2,getErrorChecking
108,2,checkNamespaceWF
109,1,removingNode
110,1,getXmlStandalone
111,1,removedNode
112,0,createElement
113,2,getStrictErrorChecking
114,1,getStandalone
115,1,addEventListener
116,1,createTextNode
117,1,createAttributeNS
118,1,getInputEncoding
119,1,getDocumentURI
120,1,getNodeNumber
121,1,setInputEncoding
122,1,replacingData
123,1,getNodeNumber
124,0,isXMLName
